ConditionRunId,Timestamp,ElapsedTime,SampleCount,Time,Camera_pos_x,Camera_pos_y,Camera_pos_z,Camera_rot_x,Camera_rot_y,Camera_rot_z,Screen_pos_x,Screen_pos_y,Screen_pos_z,Screen_rot_x,Screen_rot_y,Screen_rot_z,LeftShoulder_pos_x,LeftShoulder_pos_y,LeftShoulder_pos_z,LeftShoulder_rot_x,LeftShoulder_rot_y,LeftShoulder_rot_z,RightShoulder_pos_x,RightShoulder_pos_y,RightShoulder_pos_z,RightShoulder_rot_x,RightShoulder_rot_y,RightShoulder_rot_z
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.5678080Z,0.5859150,30,0.6576538,8.804073,-0.5528202,-0.8182596,0.2094976,358.0361,358.9851,8.797998,-0.7005925,2.402514,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.5904550Z,0.6085620,31,0.6802368,8.804092,-0.5528209,-0.8183864,0.2130268,358.016,358.9768,8.797998,-0.7005925,2.402667,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6046030Z,0.6227100,32,0.6946411,8.80408,-0.5528452,-0.8184491,0.2205119,358.0132,358.9767,8.797998,-0.7005925,2.40276,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6168200Z,0.6349270,33,0.7067261,8.804114,-0.5528896,-0.8184686,0.2351207,358.0137,358.9687,8.797998,-0.7005925,2.40284,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6293250Z,0.6474320,34,0.7199097,8.804145,-0.5529118,-0.818483,0.2442505,358.0044,358.9741,8.797998,-0.7005925,2.402933,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6419030Z,0.6600100,35,0.7317505,8.804109,-0.5529195,-0.8185507,0.2707447,357.9941,358.9704,8.797998,-0.7005925,2.403007,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6499720Z,0.6680790,36,0.7399902,8.804135,-0.5529554,-0.8186063,0.2850663,357.9873,358.9794,8.797998,-0.7005925,2.403067,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6590940Z,0.6772010,37,0.7493896,8.804137,-0.5529895,-0.8186784,0.2891895,357.9884,358.9762,8.797998,-0.7005925,2.403127,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6736740Z,0.6917810,38,0.763855,8.804199,-0.552991,-0.8187405,0.3005715,357.9775,358.9883,8.797998,-0.7005925,2.40322,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.6852480Z,0.7033550,39,0.7754517,8.80424,-0.5530026,-0.8187711,0.2890395,357.9708,358.9765,8.797998,-0.7005925,2.4033,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
